Task,Sub Tasks Checklist,Managers,Track,Strategic Goal,Departments,Quarters,Start Date,End Date,Budget,Income
In Progress,,,,,,,,,35000,937500
Begin Public Relation Strategy,"​
### Checklist for Forming Relationships with News Outlets
#### 1. Research and Identification
* [ ] **Research Analyst:​**
#### 2. Initial Outreach
* [ ] **Outreach Coordinator:​**
#### 3. Building Relationships
* [ ] **Public Relations Manager:​**
#### 4. Content Preparation
* [ ] **Content Writer:​**
- [ ] **Graphic Designer:​**
#### 5. Pitching Stories
* [ ] **Media Relations Specialist:​**
#### 6. Follow-up and Engagement
* [ ] **Follow-up Coordinator:​**
#### 7. Providing Value
* [ ] **Industry Expert/Spokesperson:​**
#### 8. Monitoring and Tracking
* [ ] **Media Monitoring Specialist:​**
#### 9. Crisis Management
* [ ] **Crisis Communications Manager:​**
#### 10. Continuous Relationship Building
* [ ] **Relationship Manager:​**
#### Example Checklist for a Single News Outlet
**Outlet: Disc Golf Monthly**
1. **Research and Identification:​**
   * Identify key journalists: John Doe (Sports Editor), Jane Smith (Feature Writer).
   * Compile contact details and LinkedIn profiles.
2. **Initial Outreach:​**
   * Draft and send introductory email to John Doe and Jane Smith.
   * Follow up with a phone call to introduce the brand and schedule a meeting.
3. **Building Relationships:​**
   * Schedule a virtual coffee chat with John Doe.
   * Engage with Jane Smith’s articles on social media.
4. **Content Preparation:​**
   * Create a press release about the app’s new feature.
   * Design an infographic showcasing user statistics.
5. **Pitching Stories:​**
   * Send a personalized pitch to John Doe highlighting the app’s impact on player performance.
   * Offer an exclusive interview with the app’s founder to Jane Smith.
6. **Follow-up and Engagement:​**
   * Send a follow-up email one week after the initial pitch.
   * Comment on John Doe’s recent article about disc golf trends.
7. **Providing Value:​**
   * Offer John Doe an exclusive first look at the app’s upcoming update.
   * Provide Jane Smith with expert insights on the latest disc golf statistics.
8. **Monitoring and Tracking:​**
   * Track mentions of the app in Disc Golf Monthly.
   * Update the media interaction database with outcomes from pitches.
9. **Crisis Management:​**
   * Prepare a statement addressing any potential issues with the app.
   * Ensure John Doe and Jane Smith receive the statement promptly.
10. **Continuous Relationship Building:​**
    * Send a thank-you note to John Doe and Jane Smith after coverage.
    * Invite them to the app’s next product launch event.",Publicist,Phase 1,Company Growth,Publicist,Q3,9/28/2024,10/26/2024,$0.00,$0.00
Udisc Contact,"##### **Udisc Contact**
* [ ] yes
- [x] no",Andrew Panza,Phase 1,Brand Awareness,Operations,Q3,9/19/2024,10/23/2024,$0.00,$0.00
Finalize current sponsor list and continue to close sponsors,"​
### Checklist for Finalizing and Closing Sponsors
1. **Finalize Current Sponsors:​**
   * Compile and confirm the current sponsor list.
   * Ensure all agreements are signed.
   * Confirm deliverables and recognition plans.
   * Maintain regular communication and seek feedback.
2. **Close New Sponsors:​**
   * Identify and research potential sponsors.
   * Develop tailored sponsorship packages.
   * Craft and send personalized pitches.
   * Schedule and conduct meetings.
   * Negotiate terms and close deals.
   * Onboard new sponsors and integrate them into event planning.","Andrew Panza, Kimberly Martinez",Phase 1,Managerial Tasks,"Operations, Sales",Q3,9/26/2024,11/1/2024,$0.00,$0.00
Apparel and shopping cart added to the website,Set up weekly meeting with Robert,"Dustin Dinsmore, Robert",Phase 1,Revenue,"Technical, Technical",Q3,9/26/2024,11/7/2024,"$15,000.00","$50,000.00"
Sigh up Sponsors,"##### **Finalize Current Sponsors:​**
* [ ] Compile and confirm the current sponsor list.
- [ ] Ensure all agreements are signed.
* [ ] Confirm deliverables and recognition plans.
- [ ] Maintain regular communication and seek feedback.
##### **Close New Sponsors:​**
* [ ] Identify and research potential sponsors.
- [ ] Develop tailored sponsorship packages.
* [ ] Craft and send personalized pitches.
- [ ] Schedule and conduct meetings.
* [ ] Negotiate terms and close deals.
- [ ] Onboard new sponsors and integrate them into event planning.",Kimberly Martinez,Phase 1,Revenue,Sales,Q3,9/26/2024,12/12/2024,$0.00,"$200,000.00"
Payment 1,"* [ ] Get Schedule
- [ ] Provide terms
* [ ] Accept terms",Andrew Panza,Phase 1,Revenue,Operations,Q3,9/26/2024,10/26/2024,$0.00,"$687,500.00"
Final Players are signed on letters of intent,Work with Andrew and Dustin to finalize list,"Dustin Dinsmore, Andrew Panza, Corey La Russo",Phase 2,Company Growth,"Technical, Operations, Marketing and PR",Q3,8/9/2024,10/12/2024,"$20,000.00",$0.00
Tournament schedule is announced,,Product Dev Team,Phase 2,Company Growth,Product Development,Q3,9/30/2024,11/3/2024,$0.00,$0.00
Sizzle Reel,"* [ ] Include FLI Marching theme song
- [ ] Short
* [ ] Long
- [ ] Exciting
* [ ] Dull / Exciting","Andrew Panza, Jim Neely, Product Dev Team, Kimberly Martinez",Phase 1,Company Growth,"Operations, Production, Product Development, Sales",Q4,8/29/2024,10/22/2024,,
Scheduled,,,,,,,,,546500,20000
Set up accounting,"* [ ] Company name
- [ ] Contact info
* [ ] Date onboaded",Alexander Smart,Overall,Increase Revenue,Finance,Q3,7/1/2024,8/9/2024,$200.00,$0.00
Set up commercial or live promo reel,"##### **Timeframe**
* [ ] Agreed on a start end date
##### **Tee Box Plan**
* [ ] Box A Large
- [ ] Box B Mini
##### **Target Plan**
* [ ] What baskets do we use
##### **Hole Plan**
* [ ] Netting
- [ ] Fencing
##### **Camara Plan how many?​**
* [ ] 4
- [ ] 6
* [ ] 8
##### **Shots Plan types od sense**
* [ ] Tee Shots
- [ ] Mid Range
* [ ] Putts
- [ ] Rollers",Product Dev Team,Overall,Brand Awareness,Product Development,Q3,7/1/2024,8/14/2024,$0.00,$0.00
Two press releases a month,"* [ ] Marketing
- [ ] Publisist
* [ ] News",Publicist,Overall,Brand Awareness,Publicist,Q3,9/21/2024,11/5/2024,$0.00,$0.00
Internal cost process analysis,"##### **Use Budget**
* [ ] keep track of expenses",Alexander Smart,Phase 1,Increase Revenue,Finance,Q3,9/21/2024,10/29/2024,$0.00,$0.00
Analyze trends,"##### **Track Player Rankings**
* [ ] Maintain a list of Pros to sign
- [ ] Udisc plan",Publicist,Overall,Increase Revenue,Publicist,Q3,7/1/2024,8/9/2024,$200.00,$0.00
New sales strategy,"##### **In house selling**
* [ ] Kimberly
- [ ] Andrew
* [ ] Corey
- [ ] Gary
* [ ] Script",Catapult,Phase 1,Increase Revenue,Sales,Q3,7/1/2024,8/10/2024,$0.00,$0.00
