externalRowId,title,description,priority,status,startDate,dueDate,task_budget,task_actual_cost,estimatedHours,actualHours,tags,notes,subTasksChecklist
"sponsor-001","Coordinate Legal Review of All Sponsorship Agreements","All 6 LOI partners need formal sponsorship agreements drafted and reviewed by Legal before contracts can be executed. Manage the pipeline through Legal and back to partners.","high","in_progress","2026-06-29","2026-07-29","250000","0","60","0","pillar:sponsor-outreach,phase:contracts,tier:all","Core legal execution workstream for signed LOIs.","- [ ] Finalize agreement template; - [ ] Route 6 agreements to legal; - [ ] Track redlines by partner; - [ ] Confirm signature-ready packets"
"sponsor-002","Deliver Sponsor Activation Decks for All Signed LOI Partners","6 partners have signed LOIs totaling $20M. Each needs a customized activation deck outlining their rights, deliverables, and co-marketing commitments before contract execution.","high","in_progress","2026-06-29","2026-07-28","50000","0","48","0","pillar:sponsor-outreach,phase:activation,tier:loi","Activation collateral delivery for LOI sponsors.","- [ ] Create tier-specific deck template; - [ ] Personalize 6 decks; - [ ] QA logos and rights language; - [ ] Deliver final PDF links"
"sponsor-003","Identify and Pitch 3 New Tier 2 or Tier 3 Prospects","Fill remaining tier slots before launch. Target gaming, sports betting, fantasy, and consumer brand categories. Goal: 3 new prospects in active pipeline by end of Q3.","medium","in_progress","2026-06-29","2026-08-28","0","0","36","0","pillar:sponsor-outreach,phase:prospecting,tier:pipeline","Pipeline expansion for open tier slots.","- [ ] Build target list of 20 logos; - [ ] Send outreach sequence; - [ ] Book discovery calls; - [ ] Move 3 to active pipeline"
"sponsor-004","Close Wynn Resorts Tier 1 Naming Rights Deal","Wynn Resorts ($7M/yr) is actively negotiating. Finalize contract terms, coordinate with Legal on sponsorship agreement, and secure signed contract before launch.","high","in_progress","2026-06-29","2026-10-30","0","0","52","0","pillar:sponsor-outreach,tier:tier-1,partner:wynn","Critical Tier 1 naming rights conversion task.","- [ ] Finalize rights package; - [ ] Resolve commercial terms; - [ ] Complete legal review; - [ ] Secure signed agreement"
"sponsor-005","Advance Mohegan Sun from Prospect to LOI","Mohegan Sun is currently in early prospect stage (Tier 4 Growth). Goal is to qualify them and move to a signed Letter of Intent within 60 days.","medium","todo","2026-06-29","2026-10-30","0","0","28","0","pillar:sponsor-outreach,tier:tier-4,partner:mohegan","Tier 4 prospect qualification and LOI conversion.","- [ ] Complete qualification call; - [ ] Share teaser deck; - [ ] Align on activation concept; - [ ] Request LOI review"
"sponsor-006","Build Sponsorship Pipeline Dashboard and Weekly Forecast","Create a single source of truth for sponsor stage movement, weighted revenue, and close probability to guide weekly leadership decisions.","high","todo","2026-07-01","2026-07-31","0","0","24","0","pillar:sponsor-outreach,phase:reporting,ops:rev-forecast","New import row for dashboard-led sponsor forecasting.","- [ ] Define stage definitions; - [ ] Add weighted forecast model; - [ ] Publish weekly dashboard; - [ ] Review in Monday standup"
"sponsor-007","Finalize Tier 1 Naming Rights Benefit Matrix","Document exact naming-rights inventory, media exposure, and hospitality benefits for Tier 1 discussions with MGM and Wynn.","high","todo","2026-07-02","2026-07-25","0","0","20","0","pillar:sponsor-outreach,tier:tier-1,phase:packaging","Supports final Tier 1 commercial negotiations.","- [ ] Lock benefit categories; - [ ] Quantify media value; - [ ] Align legal language; - [ ] Publish final matrix"
"sponsor-008","Coordinate Co-Marketing Calendar with Signed LOI Partners","Map campaign windows and activation milestones with each signed LOI partner to avoid launch conflicts and maximize sponsor visibility.","medium","todo","2026-07-05","2026-09-15","0","0","30","0","pillar:sponsor-outreach,phase:activation,workstream:co-marketing","Cross-partner activation scheduling and campaign coordination.","- [ ] Collect partner campaign windows; - [ ] Draft shared calendar; - [ ] Resolve conflicts; - [ ] Confirm launch beats"
"sponsor-009","Negotiate Category Exclusivity Terms Across Gaming and Sportsbook","Define and negotiate exclusivity boundaries so partner categories do not conflict across tier commitments.","high","todo","2026-07-10","2026-09-01","0","0","26","0","pillar:sponsor-outreach,phase:contracts,legal:exclusivity","Prevents overlap conflicts before final contract execution.","- [ ] Draft exclusivity matrix; - [ ] Identify overlap risks; - [ ] Negotiate carve-outs; - [ ] Final legal sign-off"
"sponsor-010","Create Sponsor Executive QBR Template and Cadence","Stand up a recurring executive business review format for sponsor health, activation delivery, and renewal readiness.","medium","todo","2026-07-15","2026-08-20","0","0","18","0","pillar:sponsor-outreach,phase:partner-success,cadence:qbr","Operationalizes sponsor relationship management post-signature.","- [ ] Define QBR sections; - [ ] Build KPI scorecard; - [ ] Schedule recurring sessions; - [ ] Publish first QBR deck"
"sponsor-011","Backfill Two Tier 3 Event Vendor Sponsor Candidates","Source and qualify two additional Tier 3 vendor sponsors to strengthen event-level partner coverage ahead of launch.","medium","todo","2026-07-20","2026-09-20","0","0","22","0","pillar:sponsor-outreach,tier:tier-3,phase:prospecting","Adds depth to vendor-level sponsorship pipeline.","- [ ] Build short list; - [ ] Initiate outreach; - [ ] Run qualification calls; - [ ] Advance top 2 to proposal"
"sponsor-012","Prepare 2027 Renewal Playbook for Signed LOI Partners","Design renewal strategy and value narrative for year-2 retention of signed sponsors based on activation outcomes and KPIs.","low","todo","2026-09-01","2026-12-15","0","0","16","0","pillar:sponsor-outreach,phase:renewals,year:2027","Early renewal readiness planning to protect recurring revenue.","- [ ] Define renewal KPI baseline; - [ ] Draft renewal narrative; - [ ] Build pricing options; - [ ] Align account owner action plan"
