Name,Photo,Fix Sort,World Ranking,Country,Signed Contract,Bio,Residence,Sponsored by,DOB,Nickname,Height,Weight,TikTok,Twitch:,Website/Blog (if applicable),Year Turned Professional,Primary Sponsor(s),Favorite Disc,Signature Move or Shot,Career Highlights,Number of Tournaments Played,Notable Records or Milestones,Education,Other Sports Played,Hobbies Outside Disc Golf,Favorite Destination Played,Personal Motivation or Quote,In-Action Photo,Video Highlights Files,Video Highlights Links,Logo/Personal Branding File,Logo/Personal Branding Image,Injury History (if any),Current Fitness Regimen,Dietary Preferences or Restrictions,Long-Term Goals,Personal Mission Statement in Disc Golf,Primary Airport,Secondary (Alternate) Airport,Frequent Flyer Number(s)
Male,,247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gannon Buhr,,1,# 1,,"{'name': 'Gannon Buhr Letter of Intent (1).pdf', 'size': 245225, 'type': 'file', 'url': 'https://cloud.seatable.io/workspace/48226/asset/f2f8b3d1-e99d-49fa-97f5-8997b41678f5/files/2024-08/Gannon%20Buhr%20Letter%20of%20Intent%20(1).pdf', 'upload_time': '2024-08-29T01:36:33.521+00:00'}","**Gannon Buhr** is a professional [disc golfer](https://en.wikipedia.org/wiki/Disc_golf ""Disc golf"") who won his first major at the age of 17 in 2022, becoming the second youngest player to win a major and the youngest to win the [United States Disc Golf Championship](https://en.wikipedia.org/wiki/United_States_Disc_Golf_Championship ""United States Disc Golf Championship"").[\[1\]](https://en.wikipedia.org/wiki/Gannon_Buhr#cite_note-1)[\[2\]](https://en.wikipedia.org/wiki/Gannon_Buhr#cite_note-2)[\[3\]](https://en.wikipedia.org/wiki/Gannon_Buhr#cite_note-3) Buhr won his second major by winning the 2024 European Open in Tampere, Finland.[\[4\]](https://en.wikipedia.org/wiki/Gannon_Buhr#cite_note-4)
In February 2023, Buhr was sued by sponsor Prodigy Discs for attempted early termination of his endorsement contract.[\[5\]](https://en.wikipedia.org/wiki/Gannon_Buhr#cite_note-5)","Des Moines, IA",Discmania,5/7/2005,,6 ft 6 in,175 lb,,,,,,,,"**(list major tournament wins, awards, or notable achievements):​**",,,,,,,,,,,,,,,,,,,,
Ricky Wysocki,,2,# 2,,"{'name': 'Ricky Wysocki Letter of Intent.pdf', 'size': 264199, 'type': 'file', 'url': 'https://cloud.seatable.io/workspace/48226/asset/f2f8b3d1-e99d-49fa-97f5-8997b41678f5/files/2024-05/Ricky%20Wysocki%20Letter%20of%20Intent.pdf', 'upload_time': '2024-05-09T14:01:32.681+00:00'}","​
| PDGA Male Rookie of the Year         | 2011                   |
| ------------------------------------ | ---------------------- |
| PDGA Male Player of the Year         | 2012, 2016, 2017, 2021 |
| National Tour Series Champion        | 2016, 2021             |
| Disc Golf World Tour Points Champion | 2016                   |
| Disc Golf Pro Tour Points Champion   | 2016, 2017, 2021       |","Scottsdale, Arizona",Dynamic Discs,5/6/1993,Sockibomb,6 ft 4 in,215 lb,,,,,,,,"**(list major tournament wins, awards, or notable achievements):​**",,,,,,,,,,,,,,,,,,,,
Calvin Heimburg,,3,# 3,,"{'name': 'Calvin Heimburg Letter of Intent.pdf', 'size': 250606, 'type': 'file', 'url': 'https://cloud.seatable.io/workspace/48226/asset/f2f8b3d1-e99d-49fa-97f5-8997b41678f5/files/2024-10/Calvin%20Heimburg%20Letter%20of%20Intent.pdf', 'upload_time': '2024-10-08T02:30:16.627+00:00'}","[Calvin Heimburg](https://www.innovadiscs.com/team/calvin-heimburg/) was 11 when his grandparents gifted him an [Innova starter set](https://www.innovadiscs.com/disc-golf-guide/). He’d play occassional rounds with his dad before progressing more and eventually joining the PDGA in 2010. His hometown is Safety Harbor, FL, and to this day [Cliff Stephens Park](https://udisc.com/courses/cliff-stephens-park-zoS8) is one of his favorite courses, “It’s 10 minutes down the road from my house. You can throw a ton of different lines. It’s kinda like field practice with some obstacles.”
In 2019, Calvin embarked on a full tour and earned his place as a top-level pro after winning the Las Vegas Challenge and Hall of Fame Classic PDGA National Tour events.
### About “Vinny”
“Vinny is a nickname given to me awhile ago, back in Florida. I think it was by Max Johnson,” Calvin says of his nickname. “Basically, it was just “Calvin” so they just took the last three letters of my actual name and started calling me “Vinny”.","Safety Harbor, Florida, United States",Innova,6/2/1995,Vinny,6’ 5”,165 lb,,,,,,,,"**(list major tournament wins, awards, or notable achievements):​**",,,,,,,,,,,,,,,,,,,,
Isaac Robinson,,4,# 4,,"{'name': 'Isaac Robinson LOI.pdf', 'size': 242216, 'type': 'file', 'url': 'https://cloud.seatable.io/workspace/48226/asset/f2f8b3d1-e99d-49fa-97f5-8997b41678f5/files/2024-08/Isaac%20Robinson%20LOI.pdf', 'upload_time': '2024-08-16T13:49:29.375+00:00'}","Isaac Robinson captured his second Major title of the season and first career World Championship with a five-round victory at the 2023 PDGA Professional Disc Golf World Championship, played at Smugglers’ Notch Resort in Jeffersonville, Vermont. To celebrate the monumental achievement, we’re releasing special edition commemorative discs.","Lawrenceville, Georgia, United States",Prodigy,12/18/2001,,"5' 11""",175 lb,,,,,,,,"**(list major tournament wins, awards, or notable achievements):​**",,,,,,,,,,,,,,,,,,,,
Matthew Orum,,7,# 7,,"{'name': 'Matthew Orum Letter of Intent.pdf', 'size': 247890, 'type': 'file', 'url': 'https://cloud.seatable.io/workspace/48226/asset/f2f8b3d1-e99d-49fa-97f5-8997b41678f5/files/2024-10/Matthew%20Orum%20Letter%20of%20Intent.pdf', 'upload_time': '2024-10-31T13:53:33.768+00:00'}","MattyO, or Matt Orum, is a loveable fan favorite on the disc golf course, and we got the chance to sit down with him at Champions Cup and chat about his career and what inspires him. This past weekend’s performance was amazing. After placing 3rd in the 2022 World Championship which helped him finish 8th in the 2022 Disc Golf Pro Tour Points Series, Matty-O has had a solid start to the 2023 season and is heating up after the first leg of the Tour.
He has had a solid start to the 2023 season with three top-ten finishes including a T5th finish at the PDGA Champions Cup last weekend. His steady rise in the rankings this season has been amazing to watch, and coming in at 5th place this weekend was no small feat. His bogey free third round on Saturday of last week put him at 11 under par and helped him earn 93 DGPT points on the week heading into the second leg of the Tour which will start at Jonesboro next weekend. In the third round alone he moved up thirteen spots in the tournament. In Appling, Orum was making 75% of his circle two putts and will look to keep the putter hot as the season makes a turn to the West Coast.
What has led to the success that Orum has seen in recent seasons? What keeps him going week to week? The answer is, of course, complex. Orum’s meteoric rise has been hard-fought, and he continues to grind to reach his goals.","Creola, Alabama, United States",Westside Discs,12/1/1987,Matty-O,5 ft 9 in,185 lb,,,,,,,,"**(list major tournament wins, awards, or notable achievements):​**",,,,,,,,,,,,,,,,,,,,
Niklas Anttila,,9,# 9,,"{'name': 'Niklas Anttila Letter of Intent.pdf', 'size': 244295, 'type': 'file', 'url': 'https://cloud.seatable.io/workspace/48226/asset/f2f8b3d1-e99d-49fa-97f5-8997b41678f5/files/2024-09/Niklas%20Anttila%20Letter%20of%20Intent.pdf', 'upload_time': '2024-09-25T12:16:23.056+00:00'}","**From:​** Kuopio, Finland
**About Niklas:​**Niklas comes from Kuopio, a town in central Finland. He tried out disc golf for the first time in autumn 2015 and it didn’t take long for him to realize how fun it is to play this game. By the spring 2016 he was playing every day and really wanted to get better at it. Season 2017 was his first competitive year and his debut season was a great success. At the start of the 2018 season he donned on the Discmania jersey.
I can be very demanding to myself and one day I want to be the best disc golfer in the world. I’m grateful to be a part of the Team Discmania!","Kuopio, Finland",,12/28/2001,,,,,,,,,,,"**(list major tournament wins, awards, or notable achievements):​**",,,,,,,,,,,,,,,,,,,,
Chris Dickerson,,10,# 10,,"{'name': 'Chris Dickerson Letter of Intent.pdf', 'size': 248340, 'type': 'file', 'url': 'https://cloud.seatable.io/workspace/48226/asset/f2f8b3d1-e99d-49fa-97f5-8997b41678f5/files/2024-10/Chris%20Dickerson%20Letter%20of%20Intent.pdf', 'upload_time': '2024-10-14T16:11:53.213+00:00'} {'name': 'Updated Chris Dickerson Letter of Intent.pdf', 'size': 236316, 'type': 'file', 'url': 'https://cloud.seatable.io/workspace/48226/asset/f2f8b3d1-e99d-49fa-97f5-8997b41678f5/files/2024-11/Updated%20Chris%20Dickerson%20Letter%20of%20Intent.pdf', 'upload_time': '2024-11-14T13:31:56.172+00:00'}","[Chris Dickerson](https://discgolf.ultiworld.com/player/1937/chris-dickerson/) has made it official: he is signing with Discraft on a four-year deal that will keep him with the company through the 2025 season.
As a royalty-based deal, it offers uncapped earning potential with an undisclosed guaranteed minimum. Dickerson said that he projects the deal to be worth more than \$1 million over the four year contract.
“I’m really looking forward to being able to travel a little bit more, compete to the best of my ability, and be the best person and best disc golfer I can be,” said Dickerson in a promotional video released by Discraft.","Gray, Tennessee, United States",Discraft,11/16/1993,,"5'11""",150 lbs,,,,,,,,"**(list major tournament wins, awards, or notable achievements):​**",,,,,,,,,,,,,,,,,,,,
Ezra Robinson,,12,# 12,,"{'name': 'Ezra Robinson LOI.pdf', 'size': 245275, 'type': 'file', 'url': 'https://cloud.seatable.io/workspace/48226/asset/f2f8b3d1-e99d-49fa-97f5-8997b41678f5/files/2024-08/Ezra%20Robinson%20LOI.pdf', 'upload_time': '2024-08-16T17:36:21.813+00:00'}","Ezra Robinson joined Prodigy Disc in 2016 and is currently on the Core Team, having been promoted to the top tier of support in 2021.
​
One of Georgia’s own, Ezra was one of the youngest players to ever qualify for a United States Disc Golf Championship when he played in 2018 as a 16-year-old, and won the 2016 PDGA Junior World Championship in the 15 and Under Junior II division. A a professional he’s captured the 2020 Southern Nationals Disc Golf Championship, two Hotlantas, and numerous top 25 finishes.
​
Ezra and his older brother, Isaac, have been winning tournaments in the Atlanta metro area since they were teenagers.","Lawrenceville, GA, USA",Prodigy,8/5/2002,,,,,,,,,,,"**(list major tournament wins, awards, or notable achievements):​**",,,,,,,,,,,,,,,,,,,,
"Paul Ulibarri,",,99,Announcer,,"{'name': 'Paul Ulibarri Letter of Intent.pdf', 'size': 243556, 'type': 'file', 'url': 'https://cloud.seatable.io/workspace/48226/asset/f2f8b3d1-e99d-49fa-97f5-8997b41678f5/files/2024-08/Paul%20Ulibarri%20Letter%20of%20Intent.pdf', 'upload_time': '2024-08-13T21:46:25.900+00:00'}",,"1357 pinecrest drive                  Rock Hill, SC 29732",,,,,,,,,,,,,"**(list major tournament wins, awards, or notable achievements):​**",,,,,,,,,,,,,,,,,,,,
